**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
2.737314  +/-  8710930909.679646
2.62784  +/-  8365611492.730765
2.17449  +/-  9159964504.72751
1.547521  +/-  7422168868.969569
0.84156  +/-  9232433163.456152
0.124265  +/-  8320664200.886667
0.0  +/-  8516348785.920065
-0.302182  +/-  7537430644.612045
-1.287898  +/-  5678348408.45657
-0.799022  +/-  5361810063.868377
0.31292  +/-  4271860932.063268
1.297316  +/-  5611746018.526983
-6.225556  +/-  5102638569.311955
-0.376294  +/-  5855897827.193731
0.619533  +/-  6703487265.459834
2.542653  +/-  6780626549.093529
2.598987  +/-  7856285057.70803
2.2892  +/-  7766517537.328817
1.784697  +/-  6552928848.287937
1.178377  +/-  6577305576.792706
0.529463  +/-  7904498945.339344
0.0  +/-  7953639980.143616
-0.0  +/-  6984116551.376575
-0.509415  +/-  6677817641.726651
-1.259763  +/-  5845942254.375318
-0.711762  +/-  4973083958.147742
0.338198  +/-  5528978223.187878
1.674778  +/-  7277477083.469691
-6.384787  +/-  5538540761.185782
-0.868175  +/-  7792286857.455874
0.156176  +/-  7008788858.782698
2.292897  +/-  8421214183.495279
2.497511  +/-  7413677830.693918
2.320959  +/-  7562395816.488273
1.934061  +/-  5846791987.638167
1.429392  +/-  6667712254.500367
0.862529  +/-  5808519397.609994
0.274321  +/-  7536776647.754772
0.0  +/-  7410087130.300098
-0.0  +/-  8435182886.569293
-0.704892  +/-  7014504649.247331
-1.212005  +/-  7787848508.270105
-0.623794  +/-  5478224320.99434
0.348301  +/-  6770270497.234632
1.973065  +/-  5791792384.24463
-6.345295  +/-  5551679090.29782
-1.310466  +/-  7035514163.137919
0.0  +/-  6543984732.758801
1.661744  +/-  9300491310.58878
2.341953  +/-  7650033104.150208
2.286251  +/-  6925574362.459132
2.008989  +/-  5954000693.871133
1.602528  +/-  6405814356.964338
1.12102  +/-  6429083829.314378
0.600503  +/-  5985156892.535886
0.071676  +/-  6914926468.617214
0.0  +/-  7647151325.497555
-0.0  +/-  9286652615.315754
-0.800715  +/-  6589965224.712351
-1.151472  +/-  7004708174.123539
-0.53836  +/-  5015572318.956011
0.346024  +/-  5117882627.53166
2.183503  +/-  3198287217.659115
-6.127764  +/-  5239515455.942734
-1.693489  +/-  4682159625.893933
-0.0  +/-  6442355020.569061
0.844547  +/-  7963659352.739573
2.145555  +/-  7285722404.336722
2.197438  +/-  5832913812.239263
2.020271  +/-  6529436546.927558
1.705692  +/-  5532636000.197336
1.307327  +/-  6459065346.283034
0.859002  +/-  5601609028.72313
0.385879  +/-  6562369815.401914
0.0  +/-  5759583173.863055
0.0  +/-  7376511619.416009
-0.0  +/-  7935167846.130578
-0.889932  +/-  6465628555.65084
-1.080892  +/-  4747825605.423206
-0.455102  +/-  5293653256.862098
0.33531  +/-  3768179203.211048
2.308027  +/-  5018380950.987464
-5.761166  +/-  5630217556.639869
-2.01571  +/-  4957334776.961752
-0.0  +/-  7895110062.249455
0.031801  +/-  6797764314.76849
1.917641  +/-  7006570442.49076
2.064128  +/-  4508276536.013869
1.977267  +/-  6153056654.373329
1.747207  +/-  5212814726.544962
1.427268  +/-  5063074963.9084
1.050342  +/-  4993486908.181642
0.638839  +/-  4912349810.264517
0.211585  +/-  6428438429.311474
0.0  +/-  4307991780.297278
0.0  +/-  6957361748.504738
-0.0  +/-  6782612788.453981
