**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.0011513953993264434


Parameters with uncertainties
0.0  +/-  3e-06
0.150118  +/-  2e-06
1.133121  +/-  3e-06
1.185558  +/-  2e-06
1.166799  +/-  2e-06
1.097543  +/-  2e-06
0.99143  +/-  2e-06
0.857345  +/-  2e-06
0.701083  +/-  2e-06
0.526616  +/-  2e-06
0.337161  +/-  2e-06
0.13623  +/-  2e-06
0.0  +/-  3e-06
0.0  +/-  2e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.551757  +/-  2e-06
-0.62657  +/-  3e-06
-0.362763  +/-  3e-06
-0.0  +/-  1e-06
0.179397  +/-  1e-06
1.272879  +/-  1e-06
-0.0  +/-  2e-06
-2.747165  +/-  3e-06
-1.961996  +/-  3e-06
-0.869671  +/-  1e-06
-0.0616  +/-  2e-06
-0.0  +/-  2e-06
0.0  +/-  2e-06
0.587691  +/-  2e-06
1.074282  +/-  2e-06
1.084019  +/-  1e-06
1.043839  +/-  1e-06
0.96726  +/-  2e-06
0.863148  +/-  1e-06
0.737234  +/-  1e-06
0.593246  +/-  2e-06
0.433814  +/-  1e-06
0.261295  +/-  1e-06
0.078652  +/-  2e-06
0.0  +/-  2e-06
0.0  +/-  2e-06
-0.0  +/-  2e-06
-0.0  +/-  2e-06
-0.517387  +/-  1e-06
-0.572668  +/-  3e-06
-0.306554  +/-  3e-06
-0.0  +/-  2e-06
0.163741  +/-  1e-06
1.039995  +/-  3e-06
0.0  +/-  4e-06
-1.809927  +/-  3e-06
-2.082243  +/-  3e-06
-1.050038  +/-  3e-06
-0.255062  +/-  3e-06
-0.0  +/-  3e-06
0.0  +/-  3e-06
0.045527  +/-  2e-06
0.954949  +/-  2e-06
0.989618  +/-  2e-06
0.974957  +/-  2e-06
0.924368  +/-  2e-06
0.846735  +/-  2e-06
0.747816  +/-  2e-06
0.631275  +/-  2e-06
0.499475  +/-  2e-06
0.35416  +/-  2e-06
0.197117  +/-  2e-06
0.030943  +/-  2e-06
0.0  +/-  2e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.47185  +/-  3e-06
-0.523237  +/-  3e-06
-0.256436  +/-  3e-06
-0.0  +/-  3e-06
0.144552  +/-  3e-06
0.887975  +/-  3e-06
0.578243  +/-  2e-06
-1.649445  +/-  2e-06
-2.147653  +/-  3e-06
-1.185317  +/-  4e-06
-0.413535  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
0.0  +/-  3e-06
0.391052  +/-  3e-06
0.897218  +/-  3e-06
0.9033  +/-  3e-06
0.874249  +/-  3e-06
0.81889  +/-  3e-06
0.742995  +/-  3e-06
0.650219  +/-  3e-06
0.542816  +/-  3e-06
0.422217  +/-  3e-06
0.289555  +/-  3e-06
0.146227  +/-  3e-06
0.0  +/-  3e-06
0.0  +/-  3e-06
0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.41056  +/-  4e-06
-0.474946  +/-  3e-06
-0.208152  +/-  2e-06
-0.0  +/-  2e-06
0.130406  +/-  3e-06
0.673156  +/-  3e-06
1.138917  +/-  4e-06
-1.503121  +/-  5e-06
-2.177493  +/-  6e-06
-1.288221  +/-  6e-06
-0.545616  +/-  5e-06
-0.007978  +/-  4e-06
-0.0  +/-  3e-06
0.0  +/-  3e-06
0.0  +/-  3e-06
0.64144  +/-  3e-06
0.828136  +/-  3e-06
0.816853  +/-  3e-06
0.78014  +/-  3e-06
0.723751  +/-  3e-06
0.651355  +/-  2e-06
0.565178  +/-  3e-06
0.466514  +/-  3e-06
0.356153  +/-  3e-06
0.234816  +/-  3e-06
0.103631  +/-  3e-06
0.0  +/-  3e-06
0.0  +/-  3e-06
0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  5e-06
-0.365342  +/-  6e-06
-0.430692  +/-  6e-06
-0.164592  +/-  5e-06
-0.0  +/-  4e-06
0.11639  +/-  3e-06

MSE whole data set =  31.0274102779491
R2 whole data set =  0.43376485298117173

Resampling:

Mean MSE on train data =  31.02478035961235
Mean MSE on test data =  31.734037662808824

Mean R2 on train data =  0.4331506422621607
Mean R2 on test data =  0.380408567456145

***********************************************

Terrain cut 6


polynomial = 30 
lambda = 1e-16


Parameters with uncertainties
109.056426  +/-  0.0
103.778506  +/-  0.0
-31.425823  +/-  0.0
2.055773  +/-  0.0
15.51012  +/-  0.0
-1.907859  +/-  0.0
-8.180614  +/-  4e-06
7.341841  +/-  4e-06
6.699248  +/-  4e-06
-2.512524  +/-  4e-06
-7.439495  +/-  1.9e-05
-1.224613  +/-  1.8e-05
5.552121  +/-  1.7e-05
5.530732  +/-  1.8e-05
-2.409964  +/-  1.9e-05
-4.10227  +/-  4.7e-05
-7.592501  +/-  5.3e-05
1.695806  +/-  4.9e-05
5.542967  +/-  4.9e-05
5.052008  +/-  5.3e-05
-2.136599  +/-  4.8e-05
-0.322289  +/-  6.1e-05
-11.163797  +/-  8.1e-05
-1.956944  +/-  7.5e-05
2.795192  +/-  7.5e-05
5.340418  +/-  7.5e-05
4.634264  +/-  8.2e-05
-1.802124  +/-  6.2e-05
2.859015  +/-  3.2e-05
-12.096746  +/-  5e-05
-4.581228  +/-  4.9e-05
-0.061684  +/-  5.5e-05
3.044004  +/-  5.3e-05
4.923076  +/-  5e-05
4.199183  +/-  5.1e-05
-1.448269  +/-  3.1e-05
4.974839  +/-  3.9e-05
-10.899509  +/-  4.1e-05
-6.050424  +/-  4.9e-05
-2.248512  +/-  4.4e-05
0.598689  +/-  4.3e-05
2.875054  +/-  4.4e-05
4.390276  +/-  4.8e-05
3.757436  +/-  4.1e-05
-1.104795  +/-  4.3e-05
5.919044  +/-  2.6e-05
-8.22761  +/-  3e-05
-6.490096  +/-  2.8e-05
-3.628816  +/-  5.1e-05
-1.280597  +/-  5.4e-05
0.71912  +/-  5.4e-05
2.517752  +/-  5e-05
3.822307  +/-  2.8e-05
3.326797  +/-  3.1e-05
-0.794751  +/-  2.9e-05
5.810779  +/-  3.8e-05
-4.753434  +/-  3.9e-05
-6.123003  +/-  4.6e-05
-4.277006  +/-  4.2e-05
-2.481882  +/-  4.6e-05
-0.903368  +/-  4.2e-05
